trial,rep,bout,distance_m,package,package_code,status,snip,start_s,stop_s,duration_s,measured_m,walker,distance_error_m
17,2,1,2.5,small,2,,124.0,6528.846491,6533.142534,4.296042999999372,2.9475677135627962,left_foot_a,0.44756771356279623
17,2,2,2.5,small,2,,125.0,6541.312592,6547.328552,6.015959999999723,2.098296369998282,right_foot_a,-0.4017036300017178
18,2,1,5.0,large,4,,,,,,,,
18,2,2,5.0,large,4,,126.0,6575.939543,6581.442513,5.50296999999955,4.921541068330794,right_foot_b,-0.07845893166920614
19,2,1,5.0,medium,3,,127.0,6636.630699,6642.010658,5.379958999999872,4.756665715589671,right_foot_b,-0.243334284410329
19,2,2,5.0,medium,3,,128.0,6654.245643,6659.891696,5.646052999999483,5.343516570221286,left_foot_a,0.34351657022128634
20,2,1,5.0,ring,1,,129.0,6736.904711,6742.766651,5.861939999999777,4.83053027960549,left_foot_b,-0.1694697203945097
20,2,2,5.0,ring,1,,130.0,6752.502753,6757.271657,4.768904000000475,4.63634589357525,right_foot_a,-0.36365410642475027
21,2,1,8.0,large,4,,131.0,6851.802668,6861.179734,9.377066000000013,7.530334535297671,left_foot_b,-0.46966546470232906
21,2,2,8.0,large,4,,132.0,6873.922717,6882.145724,8.223006999999598,7.390005485465009,right_foot_a,-0.609994514534991
22,2,1,12.0,large,4,,133.0,6953.232796,6964.702743,11.469946999999593,11.727887149112126,right_foot_b,-0.27211285088787385
22,2,2,12.0,large,4,,134.0,6995.048746,7007.477688,12.428941999999552,15.164009822487733,right_foot_a,3.164009822487733
23,2,1,2.5,ring,1,,,,,,,,
23,2,2,2.5,ring,1,,135.0,7058.844771,7066.647719,7.80294799999956,2.3756372566510273,right_foot_a,-0.12436274334897268
24,2,1,12.0,small,2,,136.0,7102.175705,7113.259705,11.084000000000742,12.194338740036216,left_foot_b,0.19433874003621554
24,2,2,12.0,small,2,,137.0,7127.946729,7136.950754,9.004025000000183,11.370520695016543,right_foot_a,-0.629479304983457
25,2,1,2.5,small,2,,138.0,7168.871731,7172.554808,3.6830769999996846,2.5464288314085386,left_foot_b,0.046428831408538596
25,2,2,2.5,small,2,,139.0,7200.833818,7206.364742,5.530923999999686,1.952647639737071,left_foot_a,-0.5473523602629291
26,2,1,8.0,ring,1,,,,,,,,
