trial,bout,subject,condition,start_idx,end_idx,duration_s,n_strides_left,n_strides_right,dist_left_m,dist_right_m,dist_m,stride_speed_mps,stride_speed_std
70,1,s1,B_holds_box_walks_second,592201,592989,7.88,5,3,7.178238466570957,7.154002093281858,7.166120279926408,1.1737440934493162,0.4526364067454866
70,2,s2,B_holds_box_walks_second,594092,595069,9.77,6,5,6.614883383968888,6.464892677469604,6.539888030719245,0.978810949372646,0.5630838767359237
71,1,s1,B_holds_box_walks_second,597496,598497,10.01,5,6,8.006790285713516,6.991666238685105,7.49922826219931,0.9102990418774124,0.5089189026414783
71,2,s2,B_holds_box_walks_second,599765,600742,9.77,5,5,5.787537088418011,6.638853620512558,6.2131953544652845,1.0561511521297455,0.5158972180827825
72,1,s1,B_holds_box_walks_second,603831,604429,5.98,2,4,4.3684943066519155,4.336024171881141,4.3522592392665285,0.6706416066731279,0.5153443318637992
72,2,s2,B_holds_box_walks_second,605469,606226,7.57,3,4,3.810993548774421,4.264953756990057,4.037973652882239,0.7852258815911275,0.5328898272898711
73,1,s1,B_holds_box_walks_second,609535,610933,13.98,5,6,7.788241274721153,7.302924602560286,7.545582938640719,0.845062504884195,0.4848087994827054
73,2,s2,B_holds_box_walks_second,613096,614073,9.77,5,7,6.396841036825466,7.275007774687193,6.835924405756329,0.9658912015459151,0.5185163383404697
74,1,s1,B_holds_box_walks_second,616437,617288,8.51,4,3,4.0732861858741085,4.0246546398631455,4.048970412868627,0.6196741069154642,0.4551199145768995
74,2,s2,B_holds_box_walks_second,618350,619233,8.83,3,3,2.6619391158800343,4.031063909780368,3.3465015128302014,0.8189961022761191,0.4652418018549922
75,1,s1,B_holds_box_walks_second,622132,623204,10.72,7,8,11.05319934335955,10.938597836794544,10.995898590077047,1.0204788537594884,0.492532280389523
75,2,s2,B_holds_box_walks_second,624811,626040,12.290000000000001,8,8,9.886960663053507,10.243504891270833,10.06523277716217,1.0708054859911322,0.4198190711031826
76,1,s1,B_holds_box_walks_second,629444,630684,12.4,7,7,10.966310537791388,11.556683901918896,11.261497219855142,1.2778250946694871,0.45490446123797396
76,2,s2,B_holds_box_walks_second,632753,634056,13.030000000000001,9,8,10.489198475303812,10.377117382726409,10.43315792901511,1.0517523424786057,0.47571398482919186
77,1,s1,B_holds_box_walks_second,638773,639246,4.73,1,1,2.142558522995448,1.8006603272498563,1.9716094251226521,0.019051566406248582,0.006054385381741969
77,2,s2,B_holds_box_walks_second,639939,640696,7.57,2,1,1.4438192321685515,1.8531619258656036,1.6484905790170776,0.013607029233247287,0.015768794995177738
78,1,s1,B_holds_box_walks_second,644808,646096,12.88,5,9,10.900250274734315,10.671397428198105,10.78582385146621,1.1978897382695177,0.5457441174514883
78,2,s2,B_holds_box_walks_second,647409,648905,14.96,9,7,9.596332999156356,10.487744510946134,10.042038755051244,1.0877790142197938,0.4704535056762627
79,1,s1,B_holds_box_walks_second,652158,653041,8.83,3,3,4.702386964562404,4.063491753398965,4.382939358980685,0.6693503649766733,0.47930386870771347
79,2,s2,B_holds_box_walks_second,654270,654837,5.67,4,4,4.303848591351517,4.368725185605488,4.336286888478503,0.6828474011786201,0.4653274345712262
80,1,s1,B_holds_box_walks_second,656980,657768,7.88,3,1,2.0752931931258463,1.893263016236131,1.9842781046809885,0.2995733289724008,0.3402456175661622
80,2,s2,B_holds_box_walks_second,658399,659092,6.93,2,3,0.6235285721621491,1.8615880241236136,1.2425582981428813,0.3606067180628068,0.3839074674622478
81,1,s1,B_holds_box_walks_second,662590,663693,11.03,8,9,10.774348156974597,10.216444750796724,10.495396453885661,1.0603298343784235,0.5708305974559024
81,2,s2,B_holds_box_walks_second,665490,666656,11.66,7,8,9.478107943133514,10.166775820120122,9.822441881626819,1.1621708458678741,0.5002731939075088
82,1,s1,B_holds_box_walks_second,670123,670974,8.51,6,4,7.291722426755596,7.165852769870223,7.228787598312909,1.0851827350978571,0.6212365843885853
82,2,s2,B_holds_box_walks_second,671636,673243,16.07,5,4,4.201727536433995,9.700014456092875,6.9508709962634345,1.0895415709851692,0.3845648889670189
83,1,s1,B_holds_box_walks_second,674756,675733,9.77,6,4,6.993444545145122,6.999089400315476,6.996266972730299,1.0963600622428606,0.6301365359960319
83,2,s2,B_holds_box_walks_second,676836,677970,11.34,5,6,7.068759599847449,7.140072181301229,7.104415890574339,1.0074426737071933,0.47455470627600754
84,1,s1,B_holds_box_walks_second,680671,681995,13.24,7,6,9.99170682929093,10.763393348666023,10.377550088978477,1.3405703576237495,0.5551061930785967
84,2,s2,B_holds_box_walks_second,683350,684926,15.76,8,9,10.130997815915013,10.13786685800101,10.13443233695801,1.0870615500532403,0.4542881845431034
85,1,s1,B_holds_box_walks_second,688267,689212,9.450000000000001,5,5,7.461462706762727,7.097016169349041,7.279239438055884,1.0421620152646216,0.6020857503646099
85,2,s2,B_holds_box_walks_second,690725,691828,11.03,5,6,6.299848973045734,6.774381646095407,6.53711530957057,1.0664830501351388,0.5261517669170768
86,1,s1,B_holds_box_walks_second,694759,695547,7.88,2,1,2.087462764672609,3.1139255067703773,2.6006941357214934,0.542428435578398,0.3809444922985793
86,2,s2,B_holds_box_walks_second,696200,696800,6.0,2,1,1.0775369280459794,1.7050781635113395,1.3913075457786594,0.24133256927175958,0.33630022384902036
87,1,s1,B_holds_box_walks_second,699300,700600,13.0,7,7,10.712874229126733,9.849557160818058,10.281215694972396,1.1712534547241031,0.5015023558834301
87,2,s2,B_holds_box_walks_second,702023,703174,11.51,7,9,8.64671938173487,10.544408526489521,9.595563954112196,1.0732039080856932,0.48690200638730824
88,1,s1,B_holds_box_walks_second,706515,707366,8.51,7,4,7.278191083859949,7.080906598795348,7.179548841327648,0.9016056901861599,0.5746329486220682
88,2,s2,B_holds_box_walks_second,709320,710266,9.46,6,7,6.9726307960729965,7.203439423586732,7.088035109829864,0.9446961240890845,0.5256011708238381
89,1,s1,B_holds_box_walks_second,714668,715241,5.73,4,1,1.9621173791423059,1.7116377823969633,1.8368775807696345,0.34439634846835315,0.3388801878995286
89,2,s2,B_holds_box_walks_second,716024,716500,4.76,1,1,1.3172282952040888,1.7526682003203324,1.5349482477622107,0.0002634274145847932,4.84439613974404e-05
90,1,s1,B_holds_box_walks_second,720751,721318,5.67,3,1,2.259663863484814,2.455990637232069,2.3578272503584414,0.3360279064844933,0.4309932738934808
